"id","created_at","name","has_test","alternate_url"
"69694041","2022-09-12T08:50:05+0300","-",false,"https://hh.ru/vacancy/69694041"
"69712595","2022-09-12T13:07:34+0300","-",false,"https://hh.ru/vacancy/69712595"
"69713433","2022-09-12T13:20:00+0300","Middle",false,"https://hh.ru/vacancy/69713433"
"69665417","2022-09-12T13:24:20+0300","-",false,"https://hh.ru/vacancy/69665417"
"69775217","2022-09-13T17:31:20+0300","-",false,"https://hh.ru/vacancy/69775217"
"69140213","2022-09-13T18:13:58+0300","-",false,"https://hh.ru/vacancy/69140213"
"69182443","2022-09-14T13:17:54+0300","-",false,"https://hh.ru/vacancy/69182443"
"69500080","2022-09-14T13:17:59+0300","Senior",false,"https://hh.ru/vacancy/69500080"
"69809084","2022-09-14T13:49:21+0300","-",false,"https://hh.ru/vacancy/69809084"
"69809085","2022-09-14T13:49:21+0300","-",false,"https://hh.ru/vacancy/69809085"
"69809086","2022-09-14T13:49:21+0300","-",false,"https://hh.ru/vacancy/69809086"
"69813867","2022-09-14T15:12:13+0300","Senior",false,"https://hh.ru/vacancy/69813867"
"69651789","2022-09-15T09:38:00+0300","-",false,"https://hh.ru/vacancy/69651789"
"69647954","2022-09-15T09:47:19+0300","-",true,"https://hh.ru/vacancy/69647954"
"68958894","2022-09-15T10:57:11+0300","-",false,"https://hh.ru/vacancy/68958894"
"68380428","2022-09-15T12:22:11+0300","-",false,"https://hh.ru/vacancy/68380428"
"69856866","2022-09-15T13:55:34+0300","-",false,"https://hh.ru/vacancy/69856866"
"69724262","2022-09-15T15:51:54+0300","-",false,"https://hh.ru/vacancy/69724262"
"69882858","2022-09-16T09:53:52+0300","-",false,"https://hh.ru/vacancy/69882858"
"69081304","2022-09-16T12:33:52+0300","-",false,"https://hh.ru/vacancy/69081304"
